"country","year","month","flu_activity","dengue_activity","infant_mortality","life_expectancy","continent"
Argentina,2003,"09",204,0.019,16.6,74.5,Americas
Argentina,2003,"09",217,0.019,16.6,74.5,Americas
Argentina,2003,"09",210,0.019,16.6,74.5,Americas
Argentina,2003,"09",213,0.019,16.6,74.5,Americas
Argentina,2003,"10",174,0.024,16.6,74.5,Americas
Argentina,2003,"10",205,0.024,16.6,74.5,Americas
Argentina,2003,"10",178,0.024,16.6,74.5,Americas
Argentina,2003,"10",178,0.024,16.6,74.5,Americas
Argentina,2003,"10",174,0.022,16.6,74.5,Americas
Argentina,2003,"10",205,0.022,16.6,74.5,Americas
Argentina,2003,"10",178,0.022,16.6,74.5,Americas
Argentina,2003,"10",178,0.022,16.6,74.5,Americas
Argentina,2003,"10",174,0.019,16.6,74.5,Americas
Argentina,2003,"10",205,0.019,16.6,74.5,Americas
Argentina,2003,"10",178,0.019,16.6,74.5,Americas
Argentina,2003,"10",178,0.019,16.6,74.5,Americas
Argentina,2003,"10",174,0.019,16.6,74.5,Americas
Argentina,2003,"10",205,0.019,16.6,74.5,Americas
Argentina,2003,"10",178,0.019,16.6,74.5,Americas
Argentina,2003,"10",178,0.019,16.6,74.5,Americas
Argentina,2003,"11",123,0.027,16.6,74.5,Americas
Argentina,2003,"11",149,0.027,16.6,74.5,Americas
Argentina,2003,"11",166,0.027,16.6,74.5,Americas
Argentina,2003,"11",184,0.027,16.6,74.5,Americas
Argentina,2003,"11",133,0.027,16.6,74.5,Americas
Argentina,2003,"11",123,0.027,16.6,74.5,Americas
Argentina,2003,"11",149,0.027,16.6,74.5,Americas
Argentina,2003,"11",166,0.027,16.6,74.5,Americas
Argentina,2003,"11",184,0.027,16.6,74.5,Americas
Argentina,2003,"11",133,0.027,16.6,74.5,Americas
Argentina,2003,"11",123,0.027,16.6,74.5,Americas
Argentina,2003,"11",149,0.027,16.6,74.5,Americas
Argentina,2003,"11",166,0.027,16.6,74.5,Americas
Argentina,2003,"11",184,0.027,16.6,74.5,Americas
Argentina,2003,"11",133,0.027,16.6,74.5,Americas
Argentina,2003,"11",123,0.029,16.6,74.5,Americas
Argentina,2003,"11",149,0.029,16.6,74.5,Americas
Argentina,2003,"11",166,0.029,16.6,74.5,Americas
Argentina,2003,"11",184,0.029,16.6,74.5,Americas
Argentina,2003,"11",133,0.029,16.6,74.5,Americas
Argentina,2003,"11",123,0.027,16.6,74.5,Americas
Argentina,2003,"11",149,0.027,16.6,74.5,Americas
Argentina,2003,"11",166,0.027,16.6,74.5,Americas
Argentina,2003,"11",184,0.027,16.6,74.5,Americas
Argentina,2003,"11",133,0.027,16.6,74.5,Americas
Argentina,2003,"12",121,0.019,16.6,74.5,Americas
Argentina,2003,"12",100,0.019,16.6,74.5,Americas
Argentina,2003,"12",103,0.019,16.6,74.5,Americas
Argentina,2003,"12",109,0.019,16.6,74.5,Americas
Argentina,2003,"12",121,0.024,16.6,74.5,Americas
Argentina,2003,"12",100,0.024,16.6,74.5,Americas
Argentina,2003,"12",103,0.024,16.6,74.5,Americas
Argentina,2003,"12",109,0.024,16.6,74.5,Americas
Argentina,2003,"12",121,0.022,16.6,74.5,Americas
Argentina,2003,"12",100,0.022,16.6,74.5,Americas
Argentina,2003,"12",103,0.022,16.6,74.5,Americas
Argentina,2003,"12",109,0.022,16.6,74.5,Americas
Argentina,2003,"12",121,0.019,16.6,74.5,Americas
Argentina,2003,"12",100,0.019,16.6,74.5,Americas
Argentina,2003,"12",103,0.019,16.6,74.5,Americas
Argentina,2003,"12",109,0.019,16.6,74.5,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",102,0.019,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",102,0.017,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",98,0.017,16,75,Americas
Argentina,2004,"01",102,0.017,16,75,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",98,0.019,16,75,Americas
Argentina,2004,"01",102,0.019,16,75,Americas
Argentina,2004,"02",102,0.041,16,75,Americas
Argentina,2004,"02",121,0.041,16,75,Americas
Argentina,2004,"02",114,0.041,16,75,Americas
Argentina,2004,"02",102,0.041,16,75,Americas
Argentina,2004,"02",102,0.041,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",121,0.039,16,75,Americas
Argentina,2004,"02",114,0.039,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",102,0.031,16,75,Americas
Argentina,2004,"02",121,0.031,16,75,Americas
Argentina,2004,"02",114,0.031,16,75,Americas
Argentina,2004,"02",102,0.031,16,75,Americas
Argentina,2004,"02",102,0.031,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",121,0.039,16,75,Americas
Argentina,2004,"02",114,0.039,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",102,0.039,16,75,Americas
Argentina,2004,"02",102,0.046,16,75,Americas
Argentina,2004,"02",121,0.046,16,75,Americas
Argentina,2004,"02",114,0.046,16,75,Americas
Argentina,2004,"02",102,0.046,16,75,Americas
Argentina,2004,"02",102,0.046,16,75,Americas
Argentina,2004,"03",108,0.053,16,75,Americas
Argentina,2004,"03",107,0.053,16,75,Americas
Argentina,2004,"03",119,0.053,16,75,Americas
Argentina,2004,"03",123,0.053,16,75,Americas
Argentina,2004,"03",108,0.039,16,75,Americas
Argentina,2004,"03",107,0.039,16,75,Americas
Argentina,2004,"03",119,0.039,16,75,Americas
Argentina,2004,"03",123,0.039,16,75,Americas
Argentina,2004,"03",108,0.063,16,75,Americas
Argentina,2004,"03",107,0.063,16,75,Americas
Argentina,2004,"03",119,0.063,16,75,Americas
Argentina,2004,"03",123,0.063,16,75,Americas
Argentina,2004,"03",108,0.065,16,75,Americas
Argentina,2004,"03",107,0.065,16,75,Americas
Argentina,2004,"03",119,0.065,16,75,Americas
Argentina,2004,"03",123,0.065,16,75,Americas
Argentina,2004,"04",125,0.041,16,75,Americas
Argentina,2004,"04",134,0.041,16,75,Americas
Argentina,2004,"04",134,0.041,16,75,Americas
Argentina,2004,"04",226,0.041,16,75,Americas
Argentina,2004,"04",125,0.036,16,75,Americas
Argentina,2004,"04",134,0.036,16,75,Americas
Argentina,2004,"04",134,0.036,16,75,Americas
Argentina,2004,"04",226,0.036,16,75,Americas
Argentina,2004,"04",125,0.041,16,75,Americas
Argentina,2004,"04",134,0.041,16,75,Americas
Argentina,2004,"04",134,0.041,16,75,Americas
Argentina,2004,"04",226,0.041,16,75,Americas
Argentina,2004,"04",125,0.046,16,75,Americas
Argentina,2004,"04",134,0.046,16,75,Americas
Argentina,2004,"04",134,0.046,16,75,Americas
Argentina,2004,"04",226,0.046,16,75,Americas
Argentina,2004,"05",240,0.041,16,75,Americas
Argentina,2004,"05",239,0.041,16,75,Americas
Argentina,2004,"05",198,0.041,16,75,Americas
Argentina,2004,"05",265,0.041,16,75,Americas
Argentina,2004,"05",199,0.041,16,75,Americas
Argentina,2004,"05",240,0.036,16,75,Americas
Argentina,2004,"05",239,0.036,16,75,Americas
Argentina,2004,"05",198,0.036,16,75,Americas
Argentina,2004,"05",265,0.036,16,75,Americas
Argentina,2004,"05",199,0.036,16,75,Americas
Argentina,2004,"05",240,0.036,16,75,Americas
Argentina,2004,"05",239,0.036,16,75,Americas
Argentina,2004,"05",198,0.036,16,75,Americas
Argentina,2004,"05",265,0.036,16,75,Americas
Argentina,2004,"05",199,0.036,16,75,Americas
Argentina,2004,"05",240,0.041,16,75,Americas
Argentina,2004,"05",239,0.041,16,75,Americas
Argentina,2004,"05",198,0.041,16,75,Americas
Argentina,2004,"05",265,0.041,16,75,Americas
Argentina,2004,"05",199,0.041,16,75,Americas
Argentina,2004,"05",240,0.039,16,75,Americas
Argentina,2004,"05",239,0.039,16,75,Americas
Argentina,2004,"05",198,0.039,16,75,Americas
Argentina,2004,"05",265,0.039,16,75,Americas
Argentina,2004,"05",199,0.039,16,75,Americas
Argentina,2004,"06",271,0.029,16,75,Americas
Argentina,2004,"06",273,0.029,16,75,Americas
Argentina,2004,"06",273,0.029,16,75,Americas
Argentina,2004,"06",283,0.029,16,75,Americas
Argentina,2004,"06",271,0.036,16,75,Americas
Argentina,2004,"06",273,0.036,16,75,Americas
Argentina,2004,"06",273,0.036,16,75,Americas
Argentina,2004,"06",283,0.036,16,75,Americas
Argentina,2004,"06",271,0.027,16,75,Americas
Argentina,2004,"06",273,0.027,16,75,Americas
Argentina,2004,"06",273,0.027,16,75,Americas
Argentina,2004,"06",283,0.027,16,75,Americas
Argentina,2004,"06",271,0.024,16,75,Americas
Argentina,2004,"06",273,0.024,16,75,Americas
Argentina,2004,"06",273,0.024,16,75,Americas
Argentina,2004,"06",283,0.024,16,75,Americas
Argentina,2004,"07",254,0.022,16,75,Americas
Argentina,2004,"07",238,0.022,16,75,Americas
Argentina,2004,"07",204,0.022,16,75,Americas
Argentina,2004,"07",217,0.022,16,75,Americas
Argentina,2004,"07",254,0.017,16,75,Americas
Argentina,2004,"07",238,0.017,16,75,Americas
Argentina,2004,"07",204,0.017,16,75,Americas
Argentina,2004,"07",217,0.017,16,75,Americas
Argentina,2004,"07",254,0.019,16,75,Americas
Argentina,2004,"07",238,0.019,16,75,Americas
Argentina,2004,"07",204,0.019,16,75,Americas
Argentina,2004,"07",217,0.019,16,75,Americas
Argentina,2004,"07",254,0.022,16,75,Americas
Argentina,2004,"07",238,0.022,16,75,Americas
Argentina,2004,"07",204,0.022,16,75,Americas
Argentina,2004,"07",217,0.022,16,75,Americas
Argentina,2004,"08",189,0.017,16,75,Americas
Argentina,2004,"08",230,0.017,16,75,Americas
Argentina,2004,"08",196,0.017,16,75,Americas
Argentina,2004,"08",199,0.017,16,75,Americas
Argentina,2004,"08",178,0.017,16,75,Americas
Argentina,2004,"08",189,0.017,16,75,Americas
Argentina,2004,"08",230,0.017,16,75,Americas
Argentina,2004,"08",196,0.017,16,75,Americas
Argentina,2004,"08",199,0.017,16,75,Americas
Argentina,2004,"08",178,0.017,16,75,Americas
Argentina,2004,"08",189,0.024,16,75,Americas
Argentina,2004,"08",230,0.024,16,75,Americas
Argentina,2004,"08",196,0.024,16,75,Americas
Argentina,2004,"08",199,0.024,16,75,Americas
Argentina,2004,"08",178,0.024,16,75,Americas
Argentina,2004,"08",189,0.022,16,75,Americas
Argentina,2004,"08",230,0.022,16,75,Americas
Argentina,2004,"08",196,0.022,16,75,Americas
Argentina,2004,"08",199,0.022,16,75,Americas
Argentina,2004,"08",178,0.022,16,75,Americas
Argentina,2004,"08",189,0.022,16,75,Americas
Argentina,2004,"08",230,0.022,16,75,Americas
Argentina,2004,"08",196,0.022,16,75,Americas
Argentina,2004,"08",199,0.022,16,75,Americas
Argentina,2004,"08",178,0.022,16,75,Americas
Argentina,2004,"09",198,0.022,16,75,Americas
Argentina,2004,"09",208,0.022,16,75,Americas
Argentina,2004,"09",216,0.022,16,75,Americas
Argentina,2004,"09",187,0.022,16,75,Americas
Argentina,2004,"09",198,0.027,16,75,Americas
Argentina,2004,"09",208,0.027,16,75,Americas
Argentina,2004,"09",216,0.027,16,75,Americas
Argentina,2004,"09",187,0.027,16,75,Americas
Argentina,2004,"09",198,0.019,16,75,Americas
Argentina,2004,"09",208,0.019,16,75,Americas
Argentina,2004,"09",216,0.019,16,75,Americas
Argentina,2004,"09",187,0.019,16,75,Americas
Argentina,2004,"09",198,0.019,16,75,Americas
Argentina,2004,"09",208,0.019,16,75,Americas
Argentina,2004,"09",216,0.019,16,75,Americas
Argentina,2004,"09",187,0.019,16,75,Americas
Argentina,2004,"10",184,0.022,16,75,Americas
Argentina,2004,"10",153,0.022,16,75,Americas
Argentina,2004,"10",184,0.022,16,75,Americas
Argentina,2004,"10",194,0.022,16,75,Americas
Argentina,2004,"10",167,0.022,16,75,Americas
Argentina,2004,"10",184,0.027,16,75,Americas
Argentina,2004,"10",153,0.027,16,75,Americas
Argentina,2004,"10",184,0.027,16,75,Americas
Argentina,2004,"10",194,0.027,16,75,Americas
Argentina,2004,"10",167,0.027,16,75,Americas
Argentina,2004,"10",184,0.029,16,75,Americas
Argentina,2004,"10",153,0.029,16,75,Americas
Argentina,2004,"10",184,0.029,16,75,Americas
Argentina,2004,"10",194,0.029,16,75,Americas
Argentina,2004,"10",167,0.029,16,75,Americas
Argentina,2004,"10",184,0.029,16,75,Americas
Argentina,2004,"10",153,0.029,16,75,Americas
Argentina,2004,"10",184,0.029,16,75,Americas
Argentina,2004,"10",194,0.029,16,75,Americas
Argentina,2004,"10",167,0.029,16,75,Americas
Argentina,2004,"10",184,0.027,16,75,Americas
Argentina,2004,"10",153,0.027,16,75,Americas
Argentina,2004,"10",184,0.027,16,75,Americas
Argentina,2004,"10",194,0.027,16,75,Americas
Argentina,2004,"10",167,0.027,16,75,Americas
Argentina,2004,"11",174,0.029,16,75,Americas
Argentina,2004,"11",161,0.029,16,75,Americas
Argentina,2004,"11",150,0.029,16,75,Americas
Argentina,2004,"11",131,0.029,16,75,Americas
Argentina,2004,"11",174,0.022,16,75,Americas
Argentina,2004,"11",161,0.022,16,75,Americas
Argentina,2004,"11",150,0.022,16,75,Americas
Argentina,2004,"11",131,0.022,16,75,Americas
Argentina,2004,"11",174,0.027,16,75,Americas
Argentina,2004,"11",161,0.027,16,75,Americas
Argentina,2004,"11",150,0.027,16,75,Americas
Argentina,2004,"11",131,0.027,16,75,Americas
Argentina,2004,"11",174,0.027,16,75,Americas
Argentina,2004,"11",161,0.027,16,75,Americas
Argentina,2004,"11",150,0.027,16,75,Americas
Argentina,2004,"11",131,0.027,16,75,Americas
Argentina,2004,"12",77,0.019,16,75,Americas
Argentina,2004,"12",111,0.019,16,75,Americas
Argentina,2004,"12",100,0.019,16,75,Americas
Argentina,2004,"12",89,0.019,16,75,Americas
Argentina,2004,"12",77,0.017,16,75,Americas
Argentina,2004,"12",111,0.017,16,75,Americas
Argentina,2004,"12",100,0.017,16,75,Americas
Argentina,2004,"12",89,0.017,16,75,Americas
Argentina,2004,"12",77,0.014,16,75,Americas
Argentina,2004,"12",111,0.014,16,75,Americas
Argentina,2004,"12",100,0.014,16,75,Americas
Argentina,2004,"12",89,0.014,16,75,Americas
Argentina,2004,"12",77,0.014,16,75,Americas
Argentina,2004,"12",111,0.014,16,75,Americas
Argentina,2004,"12",100,0.014,16,75,Americas
Argentina,2004,"12",89,0.014,16,75,Americas
Argentina,2005,"01",89,0.012,15.3,75.3,Americas
Argentina,2005,"01",82,0.012,15.3,75.3,Americas
Argentina,2005,"01",94,0.012,15.3,75.3,Americas
Argentina,2005,"01",78,0.012,15.3,75.3,Americas
Argentina,2005,"01",88,0.012,15.3,75.3,Americas
Argentina,2005,"01",89,0.012,15.3,75.3,Americas
Argentina,2005,"01",82,0.012,15.3,75.3,Americas
Argentina,2005,"01",94,0.012,15.3,75.3,Americas
Argentina,2005,"01",78,0.012,15.3,75.3,Americas
Argentina,2005,"01",88,0.012,15.3,75.3,Americas
Argentina,2005,"01",89,0.01,15.3,75.3,Americas
Argentina,2005,"01",82,0.01,15.3,75.3,Americas
Argentina,2005,"01",94,0.01,15.3,75.3,Americas
Argentina,2005,"01",78,0.01,15.3,75.3,Americas
Argentina,2005,"01",88,0.01,15.3,75.3,Americas
Argentina,2005,"01",89,0.012,15.3,75.3,Americas
Argentina,2005,"01",82,0.012,15.3,75.3,Americas
Argentina,2005,"01",94,0.012,15.3,75.3,Americas
Argentina,2005,"01",78,0.012,15.3,75.3,Americas
Argentina,2005,"01",88,0.012,15.3,75.3,Americas
Argentina,2005,"01",89,0.01,15.3,75.3,Americas
Argentina,2005,"01",82,0.01,15.3,75.3,Americas
Argentina,2005,"01",94,0.01,15.3,75.3,Americas
Argentina,2005,"01",78,0.01,15.3,75.3,Americas
Argentina,2005,"01",88,0.01,15.3,75.3,Americas
Argentina,2005,"02",101,0.014,15.3,75.3,Americas
Argentina,2005,"02",98,0.014,15.3,75.3,Americas
Argentina,2005,"02",94,0.014,15.3,75.3,Americas
Argentina,2005,"02",111,0.014,15.3,75.3,Americas
Argentina,2005,"02",101,0.01,15.3,75.3,Americas
Argentina,2005,"02",98,0.01,15.3,75.3,Americas
Argentina,2005,"02",94,0.01,15.3,75.3,Americas
Argentina,2005,"02",111,0.01,15.3,75.3,Americas
Argentina,2005,"02",101,0.012,15.3,75.3,Americas
Argentina,2005,"02",98,0.012,15.3,75.3,Americas
Argentina,2005,"02",94,0.012,15.3,75.3,Americas
Argentina,2005,"02",111,0.012,15.3,75.3,Americas
Argentina,2005,"02",101,0.014,15.3,75.3,Americas
Argentina,2005,"02",98,0.014,15.3,75.3,Americas
Argentina,2005,"02",94,0.014,15.3,75.3,Americas
Argentina,2005,"02",111,0.014,15.3,75.3,Americas
Argentina,2005,"03",106,0.014,15.3,75.3,Americas
Argentina,2005,"03",97,0.014,15.3,75.3,Americas
Argentina,2005,"03",137,0.014,15.3,75.3,Americas
Argentina,2005,"03",145,0.014,15.3,75.3,Americas
Argentina,2005,"03",106,0.024,15.3,75.3,Americas
Argentina,2005,"03",97,0.024,15.3,75.3,Americas
Argentina,2005,"03",137,0.024,15.3,75.3,Americas
Argentina,2005,"03",145,0.024,15.3,75.3,Americas
Argentina,2005,"03",106,0.031,15.3,75.3,Americas
Argentina,2005,"03",97,0.031,15.3,75.3,Americas
Argentina,2005,"03",137,0.031,15.3,75.3,Americas
Argentina,2005,"03",145,0.031,15.3,75.3,Americas
Argentina,2005,"03",106,0.019,15.3,75.3,Americas
Argentina,2005,"03",97,0.019,15.3,75.3,Americas
Argentina,2005,"03",137,0.019,15.3,75.3,Americas
Argentina,2005,"03",145,0.019,15.3,75.3,Americas
