"year","month","day","country","dengue_activity"
2003,"06","01","Philippines",0.062
2003,"06","01","Singapore",0.161
2003,"06","01","Thailand",NA
2003,"06","01","Venezuela",0.192
2003,"06","08","Argentina",0.039
2003,"06","08","Bolivia",0.042
2003,"06","08","Brazil",0.062
2003,"06","08","India",0.05
2003,"06","08","Indonesia",0.069
2003,"06","08","Mexico",0.088
2003,"06","08","Philippines",0.059
2003,"06","08","Singapore",0.15
2003,"06","08","Thailand",NA
2003,"06","08","Venezuela",0.186
2003,"06","15","Argentina",0.039
2003,"06","15","Bolivia",0.047
2003,"06","15","Brazil",0.036
2003,"06","15","India",0.094
2003,"06","15","Indonesia",0.055
2003,"06","15","Mexico",0.074
2003,"06","15","Philippines",0.059
2003,"06","15","Singapore",0.163
2003,"06","15","Thailand",NA
2003,"06","15","Venezuela",0.178
2003,"06","22","Argentina",0.039
2003,"06","22","Bolivia",0.039
2003,"06","22","Brazil",0.073
2003,"06","22","India",0.165
2003,"06","22","Indonesia",0.055
2003,"06","22","Mexico",0.056
2003,"06","22","Philippines",0.058
2003,"06","22","Singapore",0.143
2003,"06","22","Thailand",NA
2003,"06","22","Venezuela",0.16
2003,"06","29","Argentina",0.031
2003,"06","29","Bolivia",0.038
2003,"06","29","Brazil",0.056
2003,"06","29","India",0.17
2003,"06","29","Indonesia",0.047
2003,"06","29","Mexico",0.071
2003,"06","29","Philippines",0.058
2003,"06","29","Singapore",0.132
2003,"06","29","Thailand",NA
2003,"06","29","Venezuela",0.172
2003,"07","06","Argentina",0.034
2003,"07","06","Bolivia",0.029
2003,"07","06","Brazil",0.018
2003,"07","06","India",0.195
2003,"07","06","Indonesia",0.1
2003,"07","06","Mexico",0.086
2003,"07","06","Philippines",0.056
2003,"07","06","Singapore",0.12
2003,"07","06","Thailand",NA
2003,"07","06","Venezuela",0.159
2003,"07","13","Argentina",0.036
2003,"07","13","Bolivia",0.023
2003,"07","13","Brazil",0.015
2003,"07","13","India",0.174
2003,"07","13","Indonesia",0.073
2003,"07","13","Mexico",0.072
2003,"07","13","Philippines",0.057
2003,"07","13","Singapore",0.129
2003,"07","13","Thailand",NA
2003,"07","13","Venezuela",0.161
2003,"07","20","Argentina",0.029
2003,"07","20","Bolivia",0.021
2003,"07","20","Brazil",0.052
2003,"07","20","India",0.187
2003,"07","20","Indonesia",0.047
2003,"07","20","Mexico",0.065
2003,"07","20","Philippines",0.064
2003,"07","20","Singapore",0.128
2003,"07","20","Thailand",NA
2003,"07","20","Venezuela",0.163
2003,"07","27","Argentina",0.027
2003,"07","27","Bolivia",0.018
2003,"07","27","Brazil",0.013
2003,"07","27","India",0.18
2003,"07","27","Indonesia",0.049
2003,"07","27","Mexico",0.068
2003,"07","27","Philippines",0.064
2003,"07","27","Singapore",0.123
2003,"07","27","Thailand",NA
2003,"07","27","Venezuela",0.153
2003,"08","03","Argentina",0.024
2003,"08","03","Bolivia",0.016
2003,"08","03","Brazil",0.044
2003,"08","03","India",0.116
2003,"08","03","Indonesia",0.039
2003,"08","03","Mexico",0.095
2003,"08","03","Philippines",0.081
2003,"08","03","Singapore",0.112
2003,"08","03","Thailand",NA
2003,"08","03","Venezuela",0.151
2003,"08","10","Argentina",0.022
2003,"08","10","Bolivia",0.019
2003,"08","10","Brazil",0.036
2003,"08","10","India",0.101
2003,"08","10","Indonesia",0.039
2003,"08","10","Mexico",0.092
2003,"08","10","Philippines",0.091
2003,"08","10","Singapore",0.131
2003,"08","10","Thailand",NA
2003,"08","10","Venezuela",0.15
2003,"08","17","Argentina",0.022
2003,"08","17","Bolivia",0.022
2003,"08","17","Brazil",0.032
2003,"08","17","India",0.1
2003,"08","17","Indonesia",0.039
2003,"08","17","Mexico",0.089
2003,"08","17","Philippines",0.134
2003,"08","17","Singapore",0.127
2003,"08","17","Thailand",NA
2003,"08","17","Venezuela",0.146
2003,"08","24","Argentina",0.019
2003,"08","24","Bolivia",0.018
2003,"08","24","Brazil",0.034
2003,"08","24","India",0.103
2003,"08","24","Indonesia",0.064
2003,"08","24","Mexico",0.063
2003,"08","24","Philippines",0.163
2003,"08","24","Singapore",0.116
2003,"08","24","Thailand",NA
2003,"08","24","Venezuela",0.152
2003,"08","31","Argentina",0.019
2003,"08","31","Bolivia",0.018
2003,"08","31","Brazil",0.011
2003,"08","31","India",0.135
2003,"08","31","Indonesia",0.055
2003,"08","31","Mexico",0.084
2003,"08","31","Philippines",0.152
2003,"08","31","Singapore",0.111
2003,"08","31","Thailand",NA
2003,"08","31","Venezuela",0.159
2003,"09","07","Argentina",0.019
2003,"09","07","Bolivia",0.019
2003,"09","07","Brazil",0.018
2003,"09","07","India",0.143
2003,"09","07","Indonesia",0.047
2003,"09","07","Mexico",0.137
2003,"09","07","Philippines",0.149
2003,"09","07","Singapore",0.109
2003,"09","07","Thailand",NA
2003,"09","07","Venezuela",0.166
2003,"09","14","Argentina",0.019
2003,"09","14","Bolivia",0.031
2003,"09","14","Brazil",0.034
2003,"09","14","India",0.196
2003,"09","14","Indonesia",0.047
2003,"09","14","Mexico",0.165
2003,"09","14","Philippines",0.147
2003,"09","14","Singapore",0.113
2003,"09","14","Thailand",NA
2003,"09","14","Venezuela",0.175
2003,"09","21","Argentina",0.019
2003,"09","21","Bolivia",0.041
2003,"09","21","Brazil",0.015
2003,"09","21","India",0.242
2003,"09","21","Indonesia",0.063
2003,"09","21","Mexico",0.124
2003,"09","21","Philippines",0.137
2003,"09","21","Singapore",0.123
2003,"09","21","Thailand",NA
2003,"09","21","Venezuela",0.162
2003,"09","28","Argentina",0.019
2003,"09","28","Bolivia",0.049
2003,"09","28","Brazil",0.016
2003,"09","28","India",0.292
2003,"09","28","Indonesia",0.054
2003,"09","28","Mexico",0.188
2003,"09","28","Philippines",0.123
2003,"09","28","Singapore",0.12
2003,"09","28","Thailand",NA
2003,"09","28","Venezuela",0.166
2003,"10","05","Argentina",0.019
2003,"10","05","Bolivia",0.035
2003,"10","05","Brazil",0.02
2003,"10","05","India",0.565
2003,"10","05","Indonesia",0.069
2003,"10","05","Mexico",0.182
2003,"10","05","Philippines",0.141
2003,"10","05","Singapore",0.108
2003,"10","05","Thailand",NA
2003,"10","05","Venezuela",0.16
2003,"10","12","Argentina",0.019
2003,"10","12","Bolivia",0.044
2003,"10","12","Brazil",0.041
2003,"10","12","India",0.928
2003,"10","12","Indonesia",0.075
2003,"10","12","Mexico",0.16
2003,"10","12","Philippines",0.123
2003,"10","12","Singapore",0.108
2003,"10","12","Thailand",NA
2003,"10","12","Venezuela",0.192
2003,"10","19","Argentina",0.022
2003,"10","19","Bolivia",0.054
2003,"10","19","Brazil",0.026
2003,"10","19","India",0.99
2003,"10","19","Indonesia",0.068
2003,"10","19","Mexico",0.157
2003,"10","19","Philippines",0.109
2003,"10","19","Singapore",0.119
2003,"10","19","Thailand",NA
2003,"10","19","Venezuela",0.231
2003,"10","26","Argentina",0.024
2003,"10","26","Bolivia",0.035
2003,"10","26","Brazil",0.034
2003,"10","26","India",0.91
2003,"10","26","Indonesia",0.076
2003,"10","26","Mexico",0.122
2003,"10","26","Philippines",0.103
2003,"10","26","Singapore",0.174
2003,"10","26","Thailand",NA
2003,"10","26","Venezuela",0.298
2003,"11","02","Argentina",0.029
2003,"11","02","Bolivia",0.032
2003,"11","02","Brazil",0.038
2003,"11","02","India",0.679
2003,"11","02","Indonesia",0.075
2003,"11","02","Mexico",0.159
2003,"11","02","Philippines",0.096
2003,"11","02","Singapore",0.195
2003,"11","02","Thailand",NA
2003,"11","02","Venezuela",0.302
2003,"11","09","Argentina",0.027
2003,"11","09","Bolivia",0.044
2003,"11","09","Brazil",0.038
2003,"11","09","India",0.509
2003,"11","09","Indonesia",0.06
2003,"11","09","Mexico",0.132
2003,"11","09","Philippines",0.09
2003,"11","09","Singapore",0.157
2003,"11","09","Thailand",NA
2003,"11","09","Venezuela",0.262
2003,"11","16","Argentina",0.027
2003,"11","16","Bolivia",0.031
2003,"11","16","Brazil",0.046
2003,"11","16","India",0.327
2003,"11","16","Indonesia",0.047
2003,"11","16","Mexico",0.088
2003,"11","16","Philippines",0.091
2003,"11","16","Singapore",0.126
2003,"11","16","Thailand",NA
2003,"11","16","Venezuela",0.238
2003,"11","23","Argentina",0.027
2003,"11","23","Bolivia",0.03
2003,"11","23","Brazil",0.068
2003,"11","23","India",0.245
2003,"11","23","Indonesia",0.055
2003,"11","23","Mexico",0.127
2003,"11","23","Philippines",0.088
2003,"11","23","Singapore",0.116
2003,"11","23","Thailand",NA
2003,"11","23","Venezuela",0.231
2003,"11","30","Argentina",0.027
2003,"11","30","Bolivia",0.024
2003,"11","30","Brazil",0.063
2003,"11","30","India",0.178
2003,"11","30","Indonesia",0.068
2003,"11","30","Mexico",0.079
2003,"11","30","Philippines",0.089
2003,"11","30","Singapore",0.129
2003,"11","30","Thailand",NA
2003,"11","30","Venezuela",0.252
2003,"12","07","Argentina",0.024
2003,"12","07","Bolivia",0.016
2003,"12","07","Brazil",0.06
2003,"12","07","India",0.133
2003,"12","07","Indonesia",0.058
2003,"12","07","Mexico",0.083
2003,"12","07","Philippines",0.091
2003,"12","07","Singapore",0.112
2003,"12","07","Thailand",NA
2003,"12","07","Venezuela",0.286
2003,"12","14","Argentina",0.022
2003,"12","14","Bolivia",0.012
2003,"12","14","Brazil",0.055
2003,"12","14","India",0.094
2003,"12","14","Indonesia",0.045
2003,"12","14","Mexico",0.066
2003,"12","14","Philippines",0.095
2003,"12","14","Singapore",0.109
2003,"12","14","Thailand",NA
2003,"12","14","Venezuela",0.36
2003,"12","21","Argentina",0.019
2003,"12","21","Bolivia",0.011
2003,"12","21","Brazil",0.053
2003,"12","21","India",0.1
2003,"12","21","Indonesia",0.055
2003,"12","21","Mexico",0.055
2003,"12","21","Philippines",0.098
2003,"12","21","Singapore",0.104
2003,"12","21","Thailand",NA
2003,"12","21","Venezuela",0.324
2003,"12","28","Argentina",0.019
2003,"12","28","Bolivia",0.01
2003,"12","28","Brazil",0.049
2003,"12","28","India",0.087
2003,"12","28","Indonesia",0.039
2003,"12","28","Mexico",0.042
2003,"12","28","Philippines",0.109
2003,"12","28","Singapore",0.117
2003,"12","28","Thailand",NA
2003,"12","28","Venezuela",0.321
2004,"01","04","Argentina",0.019
2004,"01","04","Bolivia",0.01
2004,"01","04","Brazil",0.085
2004,"01","04","India",0.07
2004,"01","04","Indonesia",0.065
2004,"01","04","Mexico",0.041
2004,"01","04","Philippines",0.105
2004,"01","04","Singapore",0.115
2004,"01","04","Thailand",NA
2004,"01","04","Venezuela",0.285
2004,"01","11","Argentina",0.017
2004,"01","11","Bolivia",0.018
2004,"01","11","Brazil",0.095
2004,"01","11","India",0.072
2004,"01","11","Indonesia",0.09
2004,"01","11","Mexico",0.036
2004,"01","11","Philippines",0.096
2004,"01","11","Singapore",0.109
2004,"01","11","Thailand",NA
2004,"01","11","Venezuela",0.256
2004,"01","18","Argentina",0.017
2004,"01","18","Bolivia",0.07
2004,"01","18","Brazil",0.072
2004,"01","18","India",0.062
2004,"01","18","Indonesia",0.039
2004,"01","18","Mexico",0.034
2004,"01","18","Philippines",0.097
2004,"01","18","Singapore",0.106
2004,"01","18","Thailand",NA
2004,"01","18","Venezuela",0.251
2004,"01","25","Argentina",0.019
2004,"01","25","Bolivia",0.091
2004,"01","25","Brazil",0.057
2004,"01","25","India",0.059
2004,"01","25","Indonesia",0.065
2004,"01","25","Mexico",0.033
2004,"01","25","Philippines",0.093
2004,"01","25","Singapore",0.108
2004,"01","25","Thailand",NA
2004,"01","25","Venezuela",0.284
2004,"02","01","Argentina",0.031
2004,"02","01","Bolivia",0.068
2004,"02","01","Brazil",0.069
2004,"02","01","India",0.043
2004,"02","01","Indonesia",0.058
2004,"02","01","Mexico",0.037
2004,"02","01","Philippines",0.088
2004,"02","01","Singapore",0.109
2004,"02","01","Thailand",NA
2004,"02","01","Venezuela",0.283
2004,"02","08","Argentina",0.039
2004,"02","08","Bolivia",0.046
2004,"02","08","Brazil",0.067
2004,"02","08","India",0.033
2004,"02","08","Indonesia",0.122
2004,"02","08","Mexico",0.032
2004,"02","08","Philippines",0.08
2004,"02","08","Singapore",0.145
2004,"02","08","Thailand",NA
2004,"02","08","Venezuela",0.227
2004,"02","15","Argentina",0.046
2004,"02","15","Bolivia",0.034
2004,"02","15","Brazil",0.077
2004,"02","15","India",0.058
2004,"02","15","Indonesia",0.295
2004,"02","15","Mexico",0.031
2004,"02","15","Philippines",0.074
2004,"02","15","Singapore",0.194
2004,"02","15","Thailand",NA
2004,"02","15","Venezuela",0.199
2004,"02","22","Argentina",0.041
2004,"02","22","Bolivia",0.034
2004,"02","22","Brazil",0.088
2004,"02","22","India",0.039
2004,"02","22","Indonesia",0.69
2004,"02","22","Mexico",0.033
2004,"02","22","Philippines",0.071
2004,"02","22","Singapore",0.178
2004,"02","22","Thailand",NA
2004,"02","22","Venezuela",0.195
2004,"02","29","Argentina",0.039
2004,"02","29","Bolivia",0.03
2004,"02","29","Brazil",0.085
2004,"02","29","India",0.031
2004,"02","29","Indonesia",1
2004,"02","29","Mexico",0.04
2004,"02","29","Philippines",0.073
2004,"02","29","Singapore",0.172
2004,"02","29","Thailand",NA
2004,"02","29","Venezuela",0.207
2004,"03","07","Argentina",0.039
2004,"03","07","Bolivia",0.028
2004,"03","07","Brazil",0.096
2004,"03","07","India",0.023
2004,"03","07","Indonesia",0.8
2004,"03","07","Mexico",0.036
2004,"03","07","Philippines",0.07
2004,"03","07","Singapore",0.161
2004,"03","07","Thailand",NA
2004,"03","07","Venezuela",0.188
2004,"03","14","Argentina",0.053
2004,"03","14","Bolivia",0.023
2004,"03","14","Brazil",0.071
2004,"03","14","India",0.039
2004,"03","14","Indonesia",0.521
2004,"03","14","Mexico",0.04
2004,"03","14","Philippines",0.065
2004,"03","14","Singapore",0.164
2004,"03","14","Thailand",NA
2004,"03","14","Venezuela",0.183
2004,"03","21","Argentina",0.065
2004,"03","21","Bolivia",0.037
2004,"03","21","Brazil",0.085
2004,"03","21","India",0.023
2004,"03","21","Indonesia",0.424
2004,"03","21","Mexico",0.047
2004,"03","21","Philippines",0.06
2004,"03","21","Singapore",0.135
2004,"03","21","Thailand",NA
2004,"03","21","Venezuela",0.184
2004,"03","28","Argentina",0.063
2004,"03","28","Bolivia",0.056
2004,"03","28","Brazil",0.096
2004,"03","28","India",0.026
2004,"03","28","Indonesia",0.205
2004,"03","28","Mexico",0.052
2004,"03","28","Philippines",0.06
2004,"03","28","Singapore",0.17
2004,"03","28","Thailand",NA
2004,"03","28","Venezuela",0.168
2004,"04","04","Argentina",0.046
2004,"04","04","Bolivia",0.042
2004,"04","04","Brazil",0.071
2004,"04","04","India",0.037
2004,"04","04","Indonesia",0.262
2004,"04","04","Mexico",0.051
2004,"04","04","Philippines",0.057
2004,"04","04","Singapore",0.149
2004,"04","04","Thailand",NA
2004,"04","04","Venezuela",0.176
2004,"04","11","Argentina",0.041
2004,"04","11","Bolivia",0.035
2004,"04","11","Brazil",0.054
2004,"04","11","India",0.027
2004,"04","11","Indonesia",0.212
2004,"04","11","Mexico",0.051
2004,"04","11","Philippines",0.058
2004,"04","11","Singapore",0.127
2004,"04","11","Thailand",NA
2004,"04","11","Venezuela",0.162
2004,"04","18","Argentina",0.036
2004,"04","18","Bolivia",0.04
2004,"04","18","Brazil",0.067
2004,"04","18","India",0.031
2004,"04","18","Indonesia",0.186
2004,"04","18","Mexico",0.049
2004,"04","18","Philippines",0.057
2004,"04","18","Singapore",0.118
2004,"04","18","Thailand",NA
2004,"04","18","Venezuela",0.162
2004,"04","25","Argentina",0.041
2004,"04","25","Bolivia",0.045
2004,"04","25","Brazil",0.027
2004,"04","25","India",0.019
2004,"04","25","Indonesia",0.151
2004,"04","25","Mexico",0.044
2004,"04","25","Philippines",0.056
2004,"04","25","Singapore",0.127
2004,"04","25","Thailand",NA
2004,"04","25","Venezuela",0.187
2004,"05","02","Argentina",0.041
2004,"05","02","Bolivia",0.051
2004,"05","02","Brazil",0.039
2004,"05","02","India",0.016
2004,"05","02","Indonesia",0.142
2004,"05","02","Mexico",0.038
2004,"05","02","Philippines",0.054
2004,"05","02","Singapore",0.15
2004,"05","02","Thailand",NA
2004,"05","02","Venezuela",0.206
2004,"05","09","Argentina",0.041
2004,"05","09","Bolivia",0.049
2004,"05","09","Brazil",0.043
2004,"05","09","India",0.021
2004,"05","09","Indonesia",0.127
2004,"05","09","Mexico",0.051
2004,"05","09","Philippines",0.053
2004,"05","09","Singapore",0.138
2004,"05","09","Thailand",NA
2004,"05","09","Venezuela",0.259
2004,"05","16","Argentina",0.036
2004,"05","16","Bolivia",0.032
2004,"05","16","Brazil",0.031
2004,"05","16","India",0.037
2004,"05","16","Indonesia",0.139
2004,"05","16","Mexico",0.06
2004,"05","16","Philippines",0.056
2004,"05","16","Singapore",0.12
2004,"05","16","Thailand",NA
2004,"05","16","Venezuela",0.236
2004,"05","23","Argentina",0.036
2004,"05","23","Bolivia",0.026
2004,"05","23","Brazil",0.04
2004,"05","23","India",0.029
2004,"05","23","Indonesia",0.098
2004,"05","23","Mexico",0.114
2004,"05","23","Philippines",0.055
2004,"05","23","Singapore",0.161
2004,"05","23","Thailand",NA
2004,"05","23","Venezuela",0.202
2004,"05","30","Argentina",0.039
2004,"05","30","Bolivia",0.032
2004,"05","30","Brazil",0.03
2004,"05","30","India",0.037
2004,"05","30","Indonesia",0.082
2004,"05","30","Mexico",0.071
2004,"05","30","Philippines",0.056
2004,"05","30","Singapore",0.164
2004,"05","30","Thailand",NA
2004,"05","30","Venezuela",0.195
2004,"06","06","Argentina",0.036
2004,"06","06","Bolivia",0.039
2004,"06","06","Brazil",0.032
2004,"06","06","India",0.04
2004,"06","06","Indonesia",0.084
2004,"06","06","Mexico",0.06
2004,"06","06","Philippines",0.054
2004,"06","06","Singapore",0.137
2004,"06","06","Thailand",NA
2004,"06","06","Venezuela",0.186
2004,"06","13","Argentina",0.029
2004,"06","13","Bolivia",0.028
2004,"06","13","Brazil",0.024
2004,"06","13","India",0.04
2004,"06","13","Indonesia",0.076
2004,"06","13","Mexico",0.073
2004,"06","13","Philippines",0.058
2004,"06","13","Singapore",0.132
2004,"06","13","Thailand",NA
2004,"06","13","Venezuela",0.166
2004,"06","20","Argentina",0.027
2004,"06","20","Bolivia",0.024
2004,"06","20","Brazil",0.022
2004,"06","20","India",0.057
2004,"06","20","Indonesia",0.104
2004,"06","20","Mexico",0.05
2004,"06","20","Philippines",0.063
2004,"06","20","Singapore",0.128
2004,"06","20","Thailand",NA
2004,"06","20","Venezuela",0.172
2004,"06","27","Argentina",0.024
2004,"06","27","Bolivia",0.015
2004,"06","27","Brazil",0.032
2004,"06","27","India",0.048
2004,"06","27","Indonesia",0.091
2004,"06","27","Mexico",0.059
2004,"06","27","Philippines",0.089
2004,"06","27","Singapore",0.145
2004,"06","27","Thailand",NA
2004,"06","27","Venezuela",0.18
2004,"07","04","Argentina",0.022
2004,"07","04","Bolivia",0.015
2004,"07","04","Brazil",0.017
2004,"07","04","India",0.054
2004,"07","04","Indonesia",0.068
2004,"07","04","Mexico",0.067
2004,"07","04","Philippines",0.092
2004,"07","04","Singapore",0.134
2004,"07","04","Thailand",NA
2004,"07","04","Venezuela",0.163
2004,"07","11","Argentina",0.022
2004,"07","11","Bolivia",0.015
2004,"07","11","Brazil",0.028
2004,"07","11","India",0.056
2004,"07","11","Indonesia",0.111
2004,"07","11","Mexico",0.057
2004,"07","11","Philippines",0.095
2004,"07","11","Singapore",0.154
2004,"07","11","Thailand",NA
2004,"07","11","Venezuela",0.158
2004,"07","18","Argentina",0.019
2004,"07","18","Bolivia",0.021
2004,"07","18","Brazil",0.01
2004,"07","18","India",0.057
2004,"07","18","Indonesia",0.066
2004,"07","18","Mexico",0.069
2004,"07","18","Philippines",0.114
2004,"07","18","Singapore",0.16
2004,"07","18","Thailand",NA
2004,"07","18","Venezuela",0.151
2004,"07","25","Argentina",0.017
2004,"07","25","Bolivia",0.026
2004,"07","25","Brazil",0.017
2004,"07","25","India",0.093
2004,"07","25","Indonesia",0.087
2004,"07","25","Mexico",0.104
2004,"07","25","Philippines",0.112
2004,"07","25","Singapore",0.194
